annotation	start	stop	./rawdawg/0000772b-773d-4cf8-8baf-0e1e6dbf55e8.htseq.counts	./rawdawg/00059756-2eca-4bfe-9cd0-92faee36ddc0.htseq.counts	./rawdawg/00068002-f4f0-4610-bfe6-67169c760d21.htseq.counts	./rawdawg/0006cd63-2533-46d9-b58d-98fadea87b49.htseq.counts	./rawdawg/000f9b51-4747-4d7f-9ecc-25bef9b25ad7.htseq.counts	./rawdawg/00106523-5b1d-44ad-a9f1-7d84db08722c.htseq.counts	./rawdawg/0011596d-cfa3-48f7-b182-b1e5765209fc.htseq.counts
ENSG00000000003	100627109	100639991	520	4	1988	0	3168	14800	2048
ENSG00000000005	100584802	100599885	11	0	1	0	3	15	2
ENSG00000000419	50934867	50958555	369	884	1194	922	936	3798	789
ENSG00000000457	169849631	169894267	826	772	449	818	667	801	264
ENSG00000000460	169662007	169854080	335	920	748	476	183	553	176
ENSG00000000938	27612064	27635277	159	3965	194	522	319	85	77
ENSG00000000971	196651878	196747504	1040	144	1515	3246	309	434	363
ENSG00000001036	143494811	143511690	778	851	2312	1318	877	5427	1840
ENSG00000001084	53497341	53616970	753	1147	20363	1036	8662	3865	590
